scenario,runs,mean_of_mean_evac,ci_mean_evac_95,mean_p90,ci_p90_95,mean_max_queue,prob_any_not_evacuated,mean_bottleneck_events,mean_floor_clear_time,difference_panic_minus_calm,floors,stairs,occupancy
calm,100,19.52143064,1.268953917,27.85555556,1.990448978,7.52,1,8.76,7.51,0.975515605,10,1,2
panic,100,20.49694624,0.965031969,28.4125,1.546077314,7.9,1,17.4,6.3,0.975515605,10,1,2
calm,100,20.98884039,1.603666286,31.46197183,3.037918877,19.4,1,56.47,7.6,-3.288921766,10,1,4
panic,100,17.69991863,0.768538882,25.65,1.209381702,14.6,1,16.6,2.8,-3.288921766,10,1,4
calm,100,17.95796144,0.622338541,28.59259259,1.155699381,8.17,1,8.77,5.62,1.243046873,10,2,2
panic,100,19.20100831,1.331595803,28.79,1.886630418,14.3,1,16.2,20.1,1.243046873,10,2,2
calm,100,20.6582454,1.558138565,30.48555556,2.754281594,24.92,1,55.11,8,0.66419443,10,2,4
panic,100,21.32243983,1.127589057,31.21428571,1.628827408,17.9,1,30.7,4,0.66419443,10,2,4
calm,100,22.53417341,1.493753353,31.9775,1.858866636,14.33,1,32.09,10.3,-3.964932189,20,1,2
panic,100,18.56924122,0.905610799,26.82222222,1.405542266,6.7,1,6.8,7.6,-3.964932189,20,1,2
calm,100,30.99045876,4.212144699,46.77777778,7.799962325,18.5,1,182.63,14.65,-6.786599349,20,1,4
panic,100,24.20385941,1.445949028,36.28888889,2.25373017,21.1,1,81.1,6.5,-6.786599349,20,1,4
calm,100,22.56623224,1.142331617,34.559,1.866428637,15.16,1,52.46,13.38,-3.220855744,20,2,2
panic,100,19.34537649,0.840815126,28.41,1.467006136,15.1,1,43.7,7.8,-3.220855744,20,2,2
calm,100,26.78971804,1.529206498,43.98888889,2.721614334,31.09,1,178.26,9.79,-3.717857584,20,2,4
panic,100,23.07186045,1.022188479,36.43333333,2.150465032,23.9,1,76.9,5.9,-3.717857584,20,2,4
