seed,agents,evacuated,not_evacuated,mean_evac_time,p90_evac_time,max_queue_any_edge,bottleneck_events,avg_queue_load,mean_speed_mps,mean_total_time_including_failures,evacuated_fraction,max_floor_clear_time,panic_freeze_events,panic_bad_route_choices,mean_reaction_time,mean_base_speed,scenario
12345,50,28,22,73.82142857142857,91.0,6,0,0.055,0.9877892030848329,481.34,0.56,1000,0,0,78.48,1.000713603273062,calm
12345,50,20,30,75.6,91.30000000000001,7,0,6.455,0.9725457570715474,630.24,0.4,1000,1424,0,78.48,1.000713603273062,panic
12346,50,12,38,54.333333333333336,62.0,5,0,0.963,0.9978354978354979,773.04,0.24,1000,0,0,76.0,0.9951338240423975,calm
12346,50,12,38,57.583333333333336,67.0,4,0,0.023,0.9922779922779923,773.82,0.24,1000,270,0,76.0,0.9951338240423975,panic
12347,50,24,26,65.83333333333333,92.99999999999999,4,0,0.026,0.9732415902140673,551.6,0.48,1000,0,0,77.38,1.0205112179067974,calm
12347,50,19,31,61.94736842105263,80.8,4,0,3.747,0.9652996845425867,643.54,0.38,1000,1359,0,77.38,1.0205112179067974,panic
12348,50,29,21,77.82758620689656,105.19999999999999,4,0,0.003,0.9756446991404012,465.14,0.58,1000,0,0,97.22,0.9777239380982174,calm
12348,50,19,31,71.36842105263158,98.4,4,0,0.006,0.9714867617107943,647.12,0.38,1000,788,0,97.22,0.9777239380982174,panic
12349,50,42,8,106.26190476190476,215.69999999999993,3,0,0.009,0.9861248761149654,249.26,0.84,241,0,0,83.62,0.9838178405391608,calm
12349,50,36,14,91.36111111111111,131.0,5,0,0.928,0.9383783783783783,345.78,0.72,128,399,0,83.62,0.9838178405391608,panic
12350,50,37,13,87.51351351351352,144.2,5,0,0.004,1.0096921322690993,324.76,0.74,178,0,0,87.42,1.0081828276853297,calm
12350,50,33,17,78.87878787878788,123.20000000000002,5,0,0.013,1.008259212198221,392.06,0.66,1000,1,0,87.42,1.0081828276853297,panic
12351,50,23,27,66.1304347826087,95.80000000000001,4,0,0.003,0.9683098591549296,570.42,0.46,1000,0,0,85.7,0.9954464524638909,calm
12351,50,22,28,74.36363636363636,115.90000000000002,6,0,4.59,0.9027993779160186,592.72,0.44,1000,662,0,85.7,0.9954464524638909,panic
12352,50,18,32,64.38888888888889,83.2,4,0,0.009,0.9674556213017751,663.18,0.36,1000,0,0,79.76,1.0045100213317253,calm
12352,50,20,30,66.15,87.5,4,0,0.01,0.9686956521739131,626.46,0.4,1000,602,0,79.76,1.0045100213317253,panic
12353,50,45,5,99.53333333333333,184.60000000000002,7,0,0.004,0.9669384057971014,189.58,0.9,214,0,0,80.02,0.97689618008562,calm
12353,50,36,14,100.94444444444444,183.5,5,0,0.809,0.9350858369098712,352.68,0.72,197,1072,0,80.02,0.97689618008562,panic
12354,50,23,27,80.56521739130434,93.8,7,0,0.031,1.0134328358208955,577.06,0.46,1000,0,0,79.54,1.0176952984360117,calm
12354,50,28,22,80.57142857142857,104.6,7,0,0.034,1.0177053824362605,485.12,0.56,1000,5,0,79.54,1.0176952984360117,panic
12355,50,25,25,69.8,95.0,3,0,0.005,1.0022156573116692,534.9,0.5,1000,0,0,77.76,1.0314096327869158,calm
12355,50,16,34,62.875,78.0,4,0,0.011,0.9990875912408759,700.12,0.32,1000,1115,0,77.76,1.0314096327869158,panic
12356,50,39,11,88.56410256410257,131.40000000000003,6,0,0.035,0.9906832298136646,289.08,0.78,182,0,0,86.32,0.997252499201559,calm
12356,50,36,14,101.63888888888889,173.0,4,0,0.0,0.9781839622641509,353.18,0.72,185,0,0,86.32,0.997252499201559,panic
